Yukon_Jack;Yukon Jack;HAPPY;yes
Chocolate_ice-cream;Chocolate ice-cream;ANGRY;no
Coconut_rum;Coconut rum;CONFUSED;yes
Banana_liqueur;Banana liqueur;SURPRISED;yes
Black_Sambuca;Black Sambuca;CALM;yes
Hot_Damn;Hot Damn;SAD;yes
Mint;Mint;DISGUSTED;no
Campari;Campari;HAPPY;yes
Ice;Ice;ANGRY;no
Sour_mix;Sour mix;CONFUSED;no
Absinthe;Absinthe;SURPRISED;yes
Whisky;Whisky;CALM;yes
Guinness_stout;Guinness stout;SAD;yes
Vanilla_ice-cream;Vanilla ice-cream;DISGUSTED;no
Chambord_raspberry_liqueur;Chambord raspberry liqueur;HAPPY;yes
Jim_Beam;Jim Beam;ANGRY;yes
Godiva_liqueur;Godiva liqueur;CONFUSED;yes
Fruit_punch;Fruit punch;SURPRISED;no
Baileys_irish_cream;Baileys irish cream;CALM;yes
Zima;Zima;SAD;yes
Blue_Curacao;Blue Curacao;DISGUSTED;yes
Coca-Cola;Coca-Cola;HAPPY;no
Maui;Maui;ANGRY;no
Frangelico;Frangelico;CONFUSED;yes
Bacardi_Limon;Bacardi Limon;SURPRISED;yes
Raspberry_vodka;Raspberry vodka;CALM;yes
Green_Creme_de_Menthe;Green Creme de Menthe;SAD;yes
Lemon_peel;Lemon peel;DISGUSTED;no
Prosecco;Prosecco;HAPPY;yes
White_Rum;White Rum;ANGRY;yes
Mezcal;Mezcal;CONFUSED;yes
Green_Chartreuse;Green Chartreuse;SURPRISED;yes
Grape_Soda;Grape Soda;CALM;no
Hot_Chocolate;Hot Chocolate;SAD;no
Blended_Scotch;Blended Scotch;DISGUSTED;yes
Rye_whiskey;Rye whiskey;HAPPY;yes
